area,id,year,text,average,canada,france,germany,italy,japan,russia,uk,us,eu
Health,2014-103,2014,"We commit to] working together, in close cooperation with WHO, to develop a Global Action Plan on antimicrobial resistance.”",0.75,1,0,1,0,1,,1,1,1
Health,2015-150,2015,[we] will set up or strengthen mechanisms for rapid deployment of multidisciplinary teams of experts coordinated through a common platform. ,0.75,1,0,1,1,0,,1,1,1
Health,2015-153,2015, [We will] effectively implement our national action plans. ,0.75,1,1,1,-1,1,,1,1,1
Health,2015-176,2015,[we will stimulate research focused on faster and targeted development of easily usable and affordable] vaccines,0.625,-1,1,1,0,1,,1,1,1
Health,2016-74,2016,"[Recent outbreaks of Ebola and Zika underscore the imperative to improve prevention of, detection of and response to public health emergencies, whether naturally occuring, deliberate or accidental] In that respect, we remain committed to advancing compliance with the WHO's IHR objectives including through the Global Health Security Agenda (GHSA).",0.38,1,0,0,0,0,,1,1,0
Health,2016-81,2016,"We are committed to ending AIDS, tuberculosis and malaria, working in partnership with the Global Fund (GC) and others.",0.75,1,1,1,1,1,,0,1,0
Health,2016-234,2016,"[Building on the previous commitment of the G7 Elmau Summit and its subsequent Health Ministers' Meeting as well as the G7 Niigata Agriculture Ministers' Meeting], promote the One Health Approach to tackle cross-cutting issues of Antimicrobial Resistance (AMR) in human and animal health, agriculture food and the environment, and take actions involving multiple sectors, such as by integrating collaboration between the responsible ministries, in line with the 2015 WHO Global Action Plan on AMR adopted and relevant resolutions of the FAO and OIE. ",0.38,1,-1,1,-1,1,,1,0,1
Health,2016-82,2016,"We also commit to promoting active ageing, with due consideration to gender specific aspects, through multi-sectoral approaches including the promotion of age-friendly communities and support for communities to become demential-friendly",-0.63,-1,-1,0,-1,-1,,0,-1,0
Health,2017-69,2017,[We are committed to pursuing policies that advance] mental health [improvements across the globe].,-0.5,0,-1,-1,-1,-1,,0,-1,1
Health,2018-19,2018,"To support growth and equal participation that benefits everyone, and ensure our citizens lead healthy and productive lives, we commit to bringing greater attention to mental health.",0.5,1,0,0,1,0,,1,0,1
Health,2018-22,2018,"We recommit to support our 76 partners to strengthen their implementation of the International Health Regulations, including through their development of costed national action plans and the use of diverse sources of financing and muti-stakeholder resources",-0.38,-1,0,0,-1,0,,0,-1,0
Health,2019-23,2019,"We commit to pursuing our efforts to strengthen quality primary health care in Sahel countries, with a specific focus on gender equality and women's empowerment",-0.13,1,-1,1,-1,-1,,0,0,0
Health,2019-25,2019,"We recall our commitment to moving towards achieving universal health coverage according to national contexts and priorities, building resilient and sustainable health systems, in order to be able to reach the most affected communities",1,1,1,1,1,1,,1,1,1
Health, 2020-3,2020,We are committed to marshalling the full power of our governments to: coordinate on necessary public health measures to protect people at risk from COVID-19.,1,1,1,1,1,1,,1,1,1
Health, 2020-7,2020,"By acting together, we will work to resolve the health…risks caused by the COVID-19 pandemic.",1,1,1,1,1,1,,1,1,1
Health, 2020-10,2020,We will work hard to protect the health and safety of everyone in our countries. ,1,1,1,1,1,1,,1,1,1
Health, 2020-11,2020,"We will coordinate our efforts to delay the spread of the virus, including through appropriate border management measures. ",1,1,1,1,1,1,,1,1,1
Health, 2020-12,2020,We will enhance our efforts to strengthen health systems in our countries and globally. ,1,1,1,1,1,1,,1,1,1
Health, 2020-13,2020,"We fully support the World Health Organization in its global mandate to lead on disease outbreaks and emergencies with health consequences, leaving no geographical vacuum. ",1,1,1,1,1,1,,1,1,1
Health, 2020-14,2020,We will pool epidemiologic and other data to better understand and fight the virus. ,0.5,0,0,1,1,0,,0,1,1
Health, 2020-15,2020,"We will increase coordinated research efforts, including through voluntary support for the global alliance. ",1,1,1,1,1,1,,1,1,1
Health,2020-16,2020,"We will support the launch of joint research projects funded by both public and private resources, and the sharing of facilities, towards rapid development, manufacture and distribution of treatments and a vaccine, adhering to the principles of efficacy, safety, and accessibility. ",1,1,1,1,1,1,,1,1,1
Health, 2020-17,2020,We will make efforts to increase the availability of medical equipment where it is most needed. ,1,1,1,1,1,1,,1,1,1
Health, 2020-18,2020,"We will coordinate with online platforms to maximize public access to the latest correct and relevant official information, in recognition that millions of citizens receive information and news via social media. ",1,1,1,1,1,1,,1,1,1
Development,1996-39,1996,"""We renew our commitment to secure substantial flows of official aid and to improve the quality of this aid. The whole international community should be mobilized in this effort and new donors should assume growing responsibility, so that the burden is more equally shared;""",0,0,0,0,,0,,0,0,
Development,1997-55,1997,"""We will work with African countries to ensure adequate and well-targeted assistance for those countries which have the greatest need and carry out the necessary broad-based reforms. The assistance will include support for democratic governance, respect for human rights, sound public administration, efficient legal and judicial systems, infrastructure development, rural development, food security, environmental protection, and human resource development including health and education of their people"". ",0,-1,-1,1,-1,0,,1,1,
Development,1998-20,1998,"""We will work with the international institutions and other creditors to ensure that when they qualify, countries get the relief they need, including interim relief measures whenever necessary, to secure a lasting exit from their debt problems."" ",0,0,0,0,0,0,,0,0,
Development,Jan-99,1999,"""We also ask the Paris Club and other bilateral creditors to forgive commercial debt up to 90 % and more in individual cases if needed to achieve debt sustainability, in particular for the very poorest among these countries.""",0.857142857,1,1,1,1,1,,1,0,
Development,Feb-99,1999,"""In addition to these amounts, we call for full cancellation on a bilateral basis, through various options, of Official Development Assistance (ODA) debt.""",0.857142857,1,1,1,1,1,,1,0,
Development,1999-28,1999,"""While several means of financing are under consideration, credible progress in identifying additional funding possibilities is needed, and we stand ready to help with financing solutions. In this context we recognize the importance of fair burden sharing among creditors.""",0.857142857,1,1,1,1,1,,1,0,
Development,2000-31,2000,"“We agree to strengthen our efforts to help them (HIPICs) prepare and come forward for debt relief, by asking our Ministers to make early contact with the countries in conflict to encourage them to create the right conditions to participate in the HIPC initiative.”",0,0,0,0,0,0,0,0,0,0
Development,2000-32,2000,"“We will work together to ensure that as many countries as possible reach their Decision Points, in line with the targets set in Cologne, giving due consideration to the progress of economic reforms and the need to ensure that the benefits of debt relief are targeted to assist the poor and most vulnerable.”",-1,-1,-1,-1,-1,-1,-1,-1,-1,
Development,2000-33,2000,“We will work expeditiously together with HIPCs and the IFIs to realize the expectation that 20 countries will reach the Decision Point within the framework of the Enhanced HIPC initiative by the end of this year.”,1,1,1,1,1,1,1,1,1,
Development,2000-34,2000,“We for our part will promote more responsible lending and borrowing practices to ensure that HIPCs will not again be burdened by unsupportable debt.”,0,0,0,0,0,0,0,0,0,0
Development,01-Sep,2001,"We have all agreed as a minimum to provide 100% debt reduction of official development assistance (ODA) and eligible commercial claims for qualifying HIPC countries. We urge those countries that have not already done so to take similar steps, and we underline the need for the active and full participation of all bilateral creditors in providing timely debt relief to HIPCs.",0,0,0,0,0,0,0,0,0,
Development,2001-57,2001,"“To take this process forward, each of us will designate a high level personal representative to liase with committed African Leaders on the development of a concrete Action Plan to be approved at the G8 Summit next year under the leadership of Canada.”",1,1,1,1,1,1,,1,1,
Development,02-Sep,2002,"We will fund our share of the shortfall in the HIPC initiative, recognizing that this shortfall will be up to US $ 1 billion.",0,1,0,0,0,-1,-1,1,0,
Development,02-Oct,2002,"Assuming strong African policy commitments, and given recent assistance trends, we believe in aggregate that half or more of our development assistance commitments announced at the Monterrey could be directed to African nations that govern justly, invest in their own people and promote economic freedom.",0.5,1,1,0,0,0,0,1,1,
Development,2002-49,2002,"We commit to: Supporting African peer-review arrangements – including by: ""Encouraging cooperation with respect to peer-review practices, modalities and experiences between the Organisation for Economic Co-operation and Development (OECD) and the ECA, including the participation by the ECA in the OECD Development Assistance Committee (DAC) peer review process where the countries under review so agree;""",0,0,0,0,0,0,0,0,0,
Development,2002-50,2002,"We commit to: Supporting African peer-review arrangements – including by: Encouraging, where appropriate, substantive information sharing between Africa and its partners with respect to items under peer-review;""",0,0,0,0,0,0,0,0,0,
Development,2002-51,2002,We commit to: Supporting African peer-review arrangements – including by: Supporting regional organizations in developing tools to facilitate peer-review processes.,0,0,0,0,0,0,0,0,0,
Development,2003-15,2003,"“We welcomed the report of our Finance Ministers’ discussions on our increased resources and on financing instruments. We invite them to report back to us in September on the issues raised by the financing instruments, including the proposal for a new International Finance Facility”.",0.875,1,1,1,1,1,0,1,1,
Development,2003-16,2003,"“We reaffirmed the objective of ensuring lasting debt sustainability in HIPC countries and noted that these countries will remain vulnerable to exogenous shocks, even after reaching completion point. In this context, we have asked our Finance Ministers to review by reaching completion point. In this context, we have askcalculating the amount of “topping-up” debt relief available to countries at completion pointed our Finance Ministers to review by September [2003] mechanisms to encourage good governance and the methodology for based on updated cost estimates.”",0.333333333,1,1,0,0,0,0,1,0,0
Development,2004-34,2004,"“In anticipation of the UN-designated “international year of micro-credit” in 2005, G8 countries will work with the World Bank-based Consultative Group to Assist the Poor (CGAP) to launch a global market-based microfinance initiative.”",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Development,2004-193,2004,"“We are committed to fully implementing the HIPC initiative and to supporting debt sustainability in the poorest countries through debt relief and grant financing. To that end, we have asked our finance ministers to: Work with other donors and the other international financial institutions to extend the sunset date of the HIPC initiative until December 31, 2006""",1,1,1,1,1,1,1,1,1,1
Development,2004-194,2004,"“We are committed to fully implementing the HIPC initiative and to supporting debt sustainability in the poorest countries through debt relief and grant financing. To that end, we have asked our finance ministers to: provide the necessary financing for the completion of the initiative, including topping up where appropriate.""",1,1,1,1,1,1,1,1,1,1
Development,2004-195,2004,"“We are committed to fully implementing the HIPC initiative and to supporting debt sustainability in the poorest countries through debt relief and grant financing. To that end, we have asked our finance ministers to: Consider further measures that can help the poorest countries further address the sustainability of their debt.”",1,1,1,1,1,1,1,1,1,1
Development,05-Aug,2005,"“We have agreed to double aid for Africa by 2010. Aid for all developing countries will increase, according to the OECD, by around $50 billion per year by 2010, of which at least $25 billion extra per year for Africa.”",0.222222222,1,1,1,-1,-1,-1,1,0,1
Development,05-Dec,2005,"“The G8 has also agreed that all of the debts owed by eligible heavily indebted poor countries to IDA, the International Monetary Fund and the African Development Fund should be cancelled, as set out in our Finance Ministers agreement on 11 June.”",1,1,1,1,1,1,1,1,1,1
Development,2005- 131,2005,“We reaffirm our intention to reduce Iraq's debt by implementing the terms of the November 2004 Paris Club agreement. We call on other creditors to provide debt relief on generous terms comparable to or even better than those agreed by the members of the Paris Club in November 2004”,0.875,1,1,1,1,1,0,1,1,
Development,2006-226,2006,"We have made substantial progress since Gleneagles. Our key steps over the next year include: ""ensuring the full implementation and financing of the Multilateral Debt Relief Initiative (MDRI) according to our commitments made at Gleneagles and on a fair burden-share basis, and preserving long-term debt sustainability through the implementation of the IMF/World Bank debt sustainability framework for low-income countries; and""",0.888888889,1,1,1,0,1,1,1,1,1
Development,2007-103,2007,"""To this end we will build capacity for good governance of mineral resources consistent with social and environmental standards and sound commercial practices by reducing barriers to investment and trade, through the provision of financial, technical and capacity building support to developing countries for the mining, processing and trading of minerals.""",0.111111111,0,0,0,0,0,0,0,0,1
Development,2007-143,2007,"""These include the historic multilateral debt relief of up to US$ 60 billion, the implementation of which is now well underway.""",0.333333333,1,0,1,0,-1,0,1,1,0
Development,2007-144,2007,"""They also include increasing, compared to 2004, with other donors, ODA to Africa by US$ 25 billion a year by 2010.""",0.444444444,1,-1,1,0,0,1,1,1,0
Development,2007-183,2007,"""[This partnership should help us work together more effectively with a variety of new and existing initiatives such as:] developing a regional Micro Small and Medium Enterprises Investment Fund (REGMIFA) as an instrument to mobilize resources to refinance medium- and long-term investment credits for smaller enterprises and to microfinance institutions.""",0.333333333,0,1,1,-1,0,-1,1,1,1
Development,2008-97,2008,"""The OECD/DAC estimated the global increase of official development assistance (ODA) by 2010 at around US$ 50 billion a year. We are firmly committed to working to fulfill our commitments on ODA made at Gleneagles, and reaffirmed at Heiligendamm, including increasing, compared to 2004, with other donors, ODA to Africa by US$ 25 billion a year by 2010.""",0.777777778,1,1,1,1,0,0,1,1,1
Development,2009-115,2009,"""In particular, despite the severe impact of the crisis on our economies, we reiterate the importance of fulfilling our commitments to increase aid made at Gleneagles, and reaffirmed at Heiligendamm and Toyako. For Africa, this will include increasing, together with other donors ODA by US$ 25 billion a year by 2010, compared to 2004.""",0.333333333,1,0,0,-1,1,1,1,1,-1
Development,2009-119,2009,"""The financial crisis makes it doubly important that we improve the
effectiveness of our aid. We are firmly committed to implement the Paris Declaration and the Accra Agenda for Action (AAA), to ensure development effectiveness.""",0.333333333,1,0,0,0,0,0,1,0,1
Development,2010- 004,2010,"""We reaffirm our commitments, including on ODA and enhancing aid
effectiveness.""",0.666666667,1,1,0,0,1,1,1,1,0
Development,2011-72,2011,"""We will improve transparency of our aid information. [In particular, we will make further efforts on publishing information on allocations, expenditure and results.] Information will be provided in accessible formats that deliver on the needs of partner countries and citizens.""",0.555555556,1,0,1,0,1,1,0,1,0
Development,2011-110,2011,"""We commit to strengthen and activate our bilateral assistance to support the efforts of Partnership Countries;""",0.777777778,0,1,1,1,1,0,1,1,1
Development,2011-149,2011,"""We will continue to support the African Union and regional economic communities to fully implement their action plans, including the Minimum Integration Programme of the African Union.""",0.444444444,0,0,1,0,0,0,1,1,1
Development,2011-165,2011,"""We reaffirm our commitments, including on ODA and enhancing aid
effectiveness.""",0.555555556,1,1,0,-1,1,1,1,1,0
Development,2012-93,2012,"""Contributing G-8 members will work with regional partners, the World Bank, and regional institutions such as the Islamic Development Bank to set up the fund with an initial capitalization of $250 million.""",0.777777778,1,1,1,-1,1,1,1,1,1
Development,2012-90,2012,"""[In response to transition countries’ request for support in promoting economic stabilization necessary to pursue reform, G-8 members will take the following actions:] launch a new Capital Markets Access Initiative to provide credit enhancements, bilaterally where such instruments exist and in conjunction with multilateral institutions, to help transition countries regain access to international capital markets to spur growth and jobs.""",-0.111111111,0,0,-1,0,1,-1,0,1,-1
Development,2013-21,2013,We will continue to work with the poorest countries to help life people out of poverty and by keeping our aid promises,0.33,1,0,0,0,0,0,1,1,0
Development,2013-157,2013,"We will continue to support country-led reforms, including projects to support institutional reform, enhanced trade, investment and job creation, including through the MENA Transition Fund, alongside other support from Partners",0.222222222,-1,1,0,0,0,0,1,1,0
Development,2014-64,2014,"“[We will continue working with governments and citizens in Africa to] improve infrastructure, notably in the energy sector.”",0.75,0,1,1,0,1,,1,1,1
Development, 2014-110,2014,"[The G7 partners commit to supporting Ukraine through] bilateral and mutiateral assistance and loans, incuding around US$18 billion forseen to date",0.625,1,0,1,0,1,,1,1,0
Development,2014-114,2014,“We are committed to supporting the neighbouring countries bearing the burden of Syrian refugee inflows.”,0.875,1,1,1,1,0,,1,1,1
Development,2015-105,2015,[Based on our common values and principles we are committed to:] Tackling Causes for Refugee Crises ,1,1,1,1,1,1,1,1,1,1
Development,2015-246,2015,"We reaffirm our respective ODA commitments, such as the 0.7% ODA/GNI target",0,0,0,0,0,0,,1,-1,0
Development,2016-56,2016,"We recognize that strengthening capacity of developing countries in tax policy and administration is indispensable to level the global playing field] To enhance both quantity and quality of assistances in this area, we are committed to the principles of the Addis Tax Initiative along with encouraging other countries to make a similar commitment, and we request that the Platform for Collaboration on Tax be actively utilized to provide an opportunity where developing and developed countries and relevant organizations can share information and knowledge on a regular basis.",0.5,0,0,1,0,0,,1,1,1
Development,2016-125,2016,"We are committed to supporting displaced persons and their host communities and to working towards a long-term, sustainable post-conflict stabilization and rehabilitation of Syria and to eradicating conditions conducive to violent extremism.",0.75,1,1,1,0,1,,1,0,1
Development,2017-48,2017,"We aim to work in partnership with the African continent, supporting the African Union Agenda 2063, in order to provide the young generation in particular with adequate skills, quality infrastructures, financial resources and access to a sustainable, prosperous and safe future. ",0.75,-1,1,1,1,1,,1,1,1
Development, 2017-2,2017,We are determined to coordinate our efforts in promoting global sustainable development,0.5,1,1,1,1,0,,0,-1,1
Development,2018-53,2018,"We reiterate our commitment to work in partnership with the African continent, supporting the African Union Agenda 2063 in order to realize Africa's potential. ",1,1,1,1,1,1,,1,1,1
Development,2018-114,2018,"Supporting innovative financing approaches to achieve greater sustainable development outcomes and unlock resources such as crowdfunding, blended finance, risk mitigation tools and investor partnerships.",0.88,1,1,1,0,1,,1,1,1
Development,2018-116,2018,"Fostering new international development partnerships, and capacity to mobilize more private sector investments for sustainable international development, with particular attention to inclusive growth. ",1,1,1,1,1,1,,1,1,1
Development,2018-136,2018,"Supporting development finance programs that strive to advance women's economic empowerment and gender equality while promoting mutually reinforcing economic prosperity and stability in partner countries, including by providing access to capital that enhance economic opportunities for women. ",0.5,0,0,1,1,-1,,1,1,1
Development,2019-18,2019,We support facilitating increased access of G5 countries to all available public and private finance,0.5,0,1,1,0,1,,1,0,0
Development,2019-29,2019,"We are determined to work together to address global challenges, in line with Sustainable Development Goals of the 2030 Agenda and taking into account the African Union Agenda 2063",0.88,1,1,1,1,1,,1,0,1
Development,2019-28,2019,"We reiterate our willingness to continue to develop entrepreneurship and private sector youth employment in Africa through multilateral initiatives, such as the G20 Compact with Africa and other bilateral initiatives supported by individual G7 members",0.63,1,1,1,-1,1,,1,0,1
Crime and Corruption,1996-103,1996,"""Therefore we commit ourselves to: ... Resist the enormous threat posed by narcotic traffickers, by implementing the UN conventions against drugs, and intensifying efforts to put traffickers behind bars and prevent them from laundering their money.""",0.5,0,0,1,,1,,1,0,
Crime and Corruption,1997-33,1997,"""Border security is central to all efforts to fight transnational crime, drug-trafficking and terrorism. To this end, we will combat illegal firearms trafficking, by considering a new international instrument.""",0.25,1,0,1,-1,0,0,0,1,
Crime and Corruption,1997-34,1997,"""We will seek to adopt standard systems for firearms identification and a stronger international regime for import and export licensing of firearms.""",0.25,1,0,1,-1,0,0,0,1,
Crime and Corruption,1998-55,1998,""" We are deeply concerned by all forms of trafficking in human beings including the smuggling of migrants. We agreed to joint action to combat trafficking in women and children, including efforts to prevent such crimes, protect victims and prosecute the traffickers. We commit ourselves to develop a multidisciplinary and comprehensive strategy, including principles and an action plan for future cooperation amongst ourselves and with third countries, including countries of origin, transit and destination to tackle this problem. We consider the future comprehensive United Nations organized crime convention an important instrument for this purpose."" ",0.333333333,,0,0,,1,,,,
Crime and Corruption,1998-56,1998,"""We commit ourselves to develop a multidisciplinary and comprehensive strategy, including principles and an action plan for future cooperation amongst ourselves and with third countries, including countries of origin, transit and destination,
to tackle this problem. We consider the future comprehensive UN organised crime convention an important instrument for this purpose.""",0.333333333,,0,0,,1,,,,
Crime and Corruption,1999-xx,1999,"""We welcome and support the work of the Financial Action Task Force on Money Laundering (FATF) to identify jurisdictions which fail to cooperate effectively in the international fight against money laundering and thus facilitate the laundering of proceeds from corruption and organized crime. (1) The FATF should take concrete steps to bring offshore financial centers and underregulated and noncooperating jurisdictions into compliance with the 40 recommendations against money laundering and to protect the international financial community from the adverse impact of those that do not comply. ***(2) We call upon our Ministers of Finance, in coordination with other Ministers, in particular with Ministers of Justice and the Interior, to coordinate the development and implementation of complementary positions regarding offshore financial centers and the FATF's work on non-cooperative jurisdictions in the various fora where these issues are being addressed.""",0,0,0,0,0,0,0,0,0,0
Crime and Corruption,1999-xx,1999,"""We welcome and support the work of the Financial Action Task Force on Money Laundering (FATF) to identify jurisdictions which fail to cooperate effectively in the international fight against money laundering and thus facilitate the laundering of proceeds from corruption and organized crime. (1) The FATF should take concrete steps to bring offshore financial centers and underregulated and noncooperating jurisdictions into compliance with the 40 recommendations against money laundering and to protect the international financial community from the adverse impact of those that do not comply. ***(2) We call upon our Ministers of Finance, in coordination with other Ministers, in particular with Ministers of Justice and the Interior, to coordinate the development and implementation of complementary positions regarding offshore financial centers and the FATF's work on non-cooperative jurisdictions in the various fora where these issues are being addressed.""",1,1,1,1,1,1,1,1,1,1
Crime and Corruption,2000-59,2000,"“We remain committed to reducing demand in our own countries, and to countering the threat from the production and trafficking of illicit drugs globally"".",1,1,1,1,1,1,1,1,1,
Crime and Corruption,2000-60,2000,"“We will work with other countries, the UN system and other groups to reduce both supply and demand.”",1,1,1,1,1,1,1,1,1,
Crime and Corruption,2000-61,2000,"""“We will support regional initiatives to end narcotics production and trafficking.”",1,1,1,1,1,1,1,1,1,
Crime and Corruption,2000-62,2000,"""We are also committed to strengthen international cooperation to: Combat the illicit diversion of precursor chemicals for the  production of illegal drugs""",1,1,1,1,1,1,1,1,1,
Crime and Corruption,2000-63,2000,"""We are also committed to strengthen international cooperation to: Address the growing new threat from amphetamines and other synthetic drugs, and will convene an ad hoc meeting of drugs experts by the end of this year;""",1,1,1,1,1,1,1,1,1,
Crime and Corruption,2000-64,2000,"""We are also committed to strengthen international cooperation to: Accelerate the pace of work on asset confiscation;""",1,1,1,1,1,1,1,1,1,
Crime and Corruption,2000-65,2000,"""We are also committed to strengthen international cooperation to: Examine, by means of an international conference hosted by the UK, the global economy of illegal drugs.""",1,1,1,1,1,1,1,1,1,
Crime and Corruption,2002-57,2002,"""The task of strengthening institutions and governance is thus both urgent and of paramount importance, and for this reason, we commit to:...Intensifying support for the adoption and implementation of effective measures to combat corruption, bribery and embezzlement – including by:...Working to secure the early establishment of a UN Convention on Corruption, and the early ratification of the UN Convention Against Transnational Organized Crime; We support the Transitional Authority of Afghanistan.""",0.25,1,1,0,0,0,0,0,0,
Crime and Corruption,2003-36,2003,"“We reaffirm our commitment to fight financial abuses and to encourage wider accession to and ratification of the U.N. Convention on Transnational Organized Crime so that money laundering, corruption and other relevant crimes are universally criminalized and that all countries have the power to identify, trace, freeze or seize and ultimately confiscate and dispose of assets from the proceeds of these crimes.”",-0.5,-1,-1,-1,1,-1,-1,1,-1,
Crime and Corruption,2004-179,2004,"“We support our [Home Affairs and Justice] Ministers’ determination to detect, recover and return these illicitly acquired assets, including by: establishing G8 accelerated response teams;""",0.111111111,0,0,0,0,0,0,0,1,0
Crime and Corruption,2004-180,2004,"""We support our [Home Affairs and Justice] Ministers’ determination to detect, recover and return these illicitly acquired assets, including by: enhancing G8 asset recovery case coordination;""",0.111111111,0,0,0,0,0,0,0,1,0
Crime and Corruption,2004-181,2004,"“We support our [Home Affairs and Justice] Ministers’ determination to detect, recover and return these illicitly acquired assets, including by: holding G8 asset recovery workshops.""",0.111111111,0,0,0,0,0,0,0,1,0
Crime and Corruption,2004-182,2004,"""To meet these goals, we will ensure that: each of our countries has rules in place by Summer 2005, where possible, to require
due diligence for “politically exposed persons” accounts;""",0.111111111,0,0,0,0,0,0,0,1,0
Crime and Corruption,2004-183,2004,"""To meet these goals, we will ensure that: each of our countries has rules in place, preferably by 12/31/04, to require wire transfer originator information;""",0.111111111,0,0,0,0,0,0,0,1,0
Crime and Corruption,2004-184,2004,"""To meet these goals, we will ensure that: we create G8 best practices for modalities of disposition and return;""",0.111111111,0,0,0,0,0,0,0,1,0
Crime and Corruption,2004-185,2004,"""To meet these goals, we will ensure that: we explore effective measures to recover assets in corruption cases.""",0.111111111,0,0,0,0,0,0,0,1,0
Crime and Corruption,2004-190,2004,"“We will develop a diplomatic strategy to urge speedy consideration of ratification of the TOC [Transnational Organized Crime] Convention and coordinate with others, including donors to the UN Office on Drugs and Crime, to provide technical assistance to promote implementation of the Convention.”",0.444444444,1,1,0,0,0,1,0,0,1
Crime and Corruption,2005-54,2005,"""We will work vigorously for early ratification of the UN Convention Against Corruption and start discussions on mechanisms to ensure its effective implementation.""",0.25,0,1,0,0,-1,1,1,0,
Crime and Corruption,2005-111,2005,"""We are deepening these efforts at home and abroad, with the aim of reducing substantially global trade in pirated and counterfeit goods, and efficiently combating the transnational networks that support it. In particular, we will take further concrete steps to: “Improve co-ordination of anti-counterfeiting and anti-piracy crime strategies, and ensure closer co-operation among enforcement officials, including through shared risk analysis, exchange of best practice, enhanced existing cooperation at international borders, and between governments and the private sector;”",1,1,1,1,1,1,1,1,1,1
Crime and Corruption,2006-232,2006,"""We maintained our commitment to implement and promote the FATF recommendations, the UN Convention on Transnational Organized Crime, and the UN Convention Against Corruption. We note the critical contribution of non-governmental organizations in the fight against corruption.""",0,0,0,0,0,0,0,0,0,0
Crime and Corruption,2006-247,2006,"""We consider it necessary to take, in the near term, the following concrete measures which will form the basis of a G8 work plan on piracy and counterfeiting: to create in each G8 country a website providing businesses and individuals with information on mechanisms available and procedures necessary to secure and enforce their intellectual property rights in that country, on threats posed by piracy and counterfeiting to public health, safety and the national interests of countries, consumers and business communities, as well as on measures taken at the national andinternational levels to combat intellectual property rights violations, and on relevant legislation and law enforcement practices;""",0.125,0,0,0,0,0,0,1,0,
Crime and Corruption,2007-21,2007,"""In partnership with certain developing countries we agree to launch technical assistance pilot plans with a view to building the capacity necessary to combat trade in counterfeited and pirated goods to strengthen intellectual property enforcement.""",0.333333333,0,0,0,1,0,0,0,1,1
Crime and Corruption,2007-115,2007,"""We are committed to full implementation of their obligations under existing international agreements created to combat corruption, particularly those of the United Nations and the Organisation for Economic Co-operation and Development (OECD).""",0.333333333,1,1,0,0,-1,0,1,1,0
Crime and Corruption,2008-38,2008,"""We will advance existing anti-counterfeiting and piracy initiatives through, inter alia, promoting information exchange systems amongst our authorities, as well as developing non-binding Standards to be Employed by Customs for Uniform Rights Enforcement (SECURE) at the World Customs Organization.""",0.777777778,1,0,1,1,1,1,0,1,1
Crime and Corruption,2008-43,2008,"""We call for the ratification of the United Nations Convention against Corruption (UNCAC  by all countries and a strong and consistent follow-up of the Bali Conference by ensuring effective implementation of UNCAC, including the development of a review mechanism.""",0.666666667,1,1,0,0,0,1,1,1,1
Crime and Corruption,2009-24,2009,"""We call for the ratification of the United Nations Convention against Corruption (UNCAC) by all countries and a strong and consistent follow-up of the Bali Conference by ensuring effective implementation of UNCAC, including the development of an effective, transparent and inclusive review mechanism.""",0.666666667,1,1,0,0,0,1,1,1,1
Crime and Corruption,2009-183,2009,"""We commit to contributing, through cooperation with international partners and coordinated bilateral programs, to achieve the goals defined by the Contact Group on Piracy off the Coast of Somalia – and related multilateral efforts, including the Djibouti Code of Conduct facilitated by the International Maritime Organization – and the International Contact Group for Somalia.""",1,1,1,1,1,1,1,1,1,1
Crime and Corruption,2010-22,2010,"""We support efforts of the Kimberly Process to manage the trade of rough diamonds and ensure compliance by all participants with its standards.""",0.555555556,1,1,0,0,0,1,1,1,0
Crime and Corruption,2011-107,2011,"""We will fulfill our international commitments to secure the return of stolen assets""",-0.222222222,0,1,-1,-1,-1,-1,0,1,0
Crime and Corruption,2012-123,2012,"""[Specific actions by G8 members to promote effective cooperation in asset recovery will include:] Promote transparency and effective cooperation: Each G8 member will: publish a guide that describes specific steps required for assistance and cooperation in matters related to tracing, freezing, confiscation, and return of proceeds of corruption, whether through formal mutual legal assistance (MLA) or other forms of cooperation and make the guide available in Arabic;""",0.444444444,1,0,1,1,1,-1,1,1,-1
Crime and Corruption,2013-95,2013,[We are committed to ensuring enforcement of our AML/CFT requirements to ensure corporate wrongdoers are held to account. ,0.444444444,0,1,0,-1,0,1,1,1,1
Crime and Corruption,2013-162,2013,"We reiterate our high level of commitment to return stolen assets to countries in transition, including through participation in the Arab Forum on Asset Recovery. ",0.222222222,0,0,1,0,1,0,0,0,0
Crime and Corruption,2014-80,2014,We renew our commitment to the recovery and return of stolen assets.”,1,1,1,1,1,1,,1,1,1
Crime and Corruption,2014-81,2014,"“We remain committed to prevent the misuse of companies and other legal arrangements such as trusts to hide financial flows stemming from corruption, tax evasion, money laundering, and other crimes, ensuring that beneficial ownership information is available in a timely fashion to financial intelligence units, tax collection and law enforcement agencies, for example through central registries or other appropriate mechanisms, leading by example in implementing the Financial Action Task Force and other relevant international standards and our national action plans in line with the principles we agreed at Lough Erne.”",0.5,1,1,1,-1,0,,1,0,1
Crime and Corruption,2016-130,2016,"[We urge Ukraine to maintain and enhance the momentum in its fight against corruption and its judicial reform, including the Prosecutor General's office] We are fully committed to providng long-term support to this end.",0.38,1,1,1,-1,0,,1,1,1
