Compliance Score,Summit,Commitment Text,Average,Issue-Area,Country,Year,Mentions Specific Date,Total Number of Commitments,Number of Same-Issue Commitments,Mentions UN,Mentions Developing Countries,Binding Level,GDP,GDP per Capita,GDP per Capita Growth,Host Country,Number of Ministerials,Closest Ministerial,Government Type
1,1995-23 (AL),Setting more ambitious timetables and objectives to follow-up on the Berlin Conference of the Parties,0.285714286,Climate Change,Canada,1995,No,77,1,No,No,Higher,6.04E+11,20613.78788,1.636809393,Canada,1,-47,Federal
0,1996-87,We commit ourselves to strong action and anticipate in 1997 : a successful outcome of the Conference of the Parties to the Climate Change Convention; ,0.571428571,Climate Change,Canada,1996,Yes,128,2,No,No,Higher,6.29E+11,21227.34753,0.562467833,France,1,-49,Federal
0,Aug-97,"""At the Third Conference of the Parties to the UN Framework Convention on Climate Change in Kyoto, we must forge a strong agreement that is consistent with the Berlin Mandate and contains quantified and legally-binding emission targets that will result in reductions of greenhouse gas emissions by 2010"". ",0.5,Climate Change,Canada,1997,Yes,145,4,Yes,No,Higher,6.53E+11,21829.23344,3.248849357,United States,0,365,Federal
-1,Sep-97,"""We intend to commit to meaningful, realistic and equitable targets that will result in reductions of greenhouse gas emissions by 2010.""",0.111111111,Climate Change,Canada,1997,Yes,145,4,No,No,Higher,6.53E+11,21829.23344,3.248849357,United States,0,365,Federal
1,1997-,"“Developing countries must also take measurable steps, recognizing that their obligations will increase as their economies grow. We agree to work in partnership with them to that effect by implementing technological development and diffusion and supporting environmental education and capacity building.” ",0.444444444,Climate Change,Canada,1997,No,145,4,No,Yes,Higher,6.53E+11,21829.23344,3.248849357,United States,0,365,Federal
1,1997-,“We agree to work together to enhance international efforts to further develop global systems for monitoring climate change and other environmental trends.” ,0.222222222,Climate Change,Canada,1997,No,145,4,No,No,Higher,6.53E+11,21829.23344,3.248849357,United States,0,365,Federal
1,1998-34,"""To this end: as the Kyoto protocol says, to supplement domestic actions, we will work further on flexible mechanisms such as international market-based emissions trading, joint implementation and the clean development mechanism, and on sinks.",1,Climate Change,Canada,1998,No,73,7,No,No,Higher,6.32E+11,20952.06946,1.946954614,United Kingdom,1,-42,Federal
1,1998-35,"""We aim to draw up rules and principles that will ensure an enforceable, accountable, verifiable, open and transparent trading system and an effective compliance regime;""",1,Climate Change,Canada,1998,No,73,7,No,No,Higher,6.32E+11,20952.06946,1.946954614,United Kingdom,1,-42,Federal
0,1999-32,We will work towards timely progress in implementing the Buenos Aires Plan of Action with a view to early entry into force of the Kyoto Protocol,-0.222222222,Climate Change,Canada,1999,No,46,2,No,No,Higher,6.76E+11,22238.66454,3.128791699,Germany,1,-84,Federal
0,2000-86,"“ We are determined to achieve a successful outcome at the Sixth Conference of the Parties to the FCCC (COP6), in order to achieve the goals of the Kyoto Protocol though undertaking strong domestic actions and supplemental flexibility mechanisms.” ",0.444444444,Climate Change,Canada,2000,No,105,1,No,No,Higher,7.42E+11,24190.24962,3.945218535,Japan,1,-106,Federal
0,2001-xx,Will give money to the Global Environment Facility (GEF) so that it may continue to support environmental protection on a global scale and foster good practices to promote efficient energy use and the development of renewable energy sources in the development world,-0.125,Climate Change,Canada,2001,No,58,5,No,No,Higher,7.36E+11,23738.18072,0.309869789,Italy,1,-141,Federal
0,2001-xx,Will work with civil society and developing countries to make the World Summit on Sustainable Development in Johannesburg a success,0,Climate Change,Canada,2001,No,58,5,No,Yes,Higher,7.36E+11,23738.18072,0.309869789,Italy,1,-141,Federal
1,2001-xx,Promote early entry into force of the Stockholm Convention on Persistent Organic Pollutants,0.125,Climate Change,Canada,2001,No,58,5,No,No,Lower,7.36E+11,23738.18072,0.309869789,Italy,1,-141,Federal
0,2001-44,"""To that end, we are participating constructively in the resumed Sixth
Conference of the Parties in Bonn (COP6) and will continue to do so in all relevant fora.""",0,Climate Change,Canada,2001,No,58,5,No,No,Higher,7.36E+11,23738.18072,0.309869789,Italy,1,-141,Federal
1,Aug-02,We agreed on the importance of reaffirming the Doha Agenda and the Monterrey Consensus and to work at the upcoming Johannesburg Summit to produce meaningful partnerships for sustainable development and measurable results. ,0.888888889,Climate Change,Canada,2002,No,187,4,No,No,Higher,7.58E+11,24169.28473,2.303577116,Canada,1,-75,Federal
0,2003-75,"“We commit to participating in the International Conference on Renewable Energies, spring 2004 in Bonn”.",0.75,Climate Change,Canada,2003,Yes,205,1,No,No,Higher,8.92E+11,28200.65808,2.879569876,France,1,-37,Federal
1,2003-92,"We will discuss various aspects of the global climate change problem at the World Conference on Climate Control (Moscow, September 2003). ",1,Climate Change,Canada,2003,Yes,205,1,No,No,Higher,8.92E+11,28200.65808,2.879569876,France,1,-37,Federal
1,2004(s)-3,“Held First and Second Earth Observation Summits (EOS) and adopted a Framework document on a Global Earth Observation System of Systems (GEOSS). Planning to adopt a final 10-year strategic implementation plan on GEOSS at Third EOS in 2005 and working to identify the international mechanism to provide coordination and oversight for GEOSS.”,1,Climate Change,Canada,2004,Yes,252,1,No,No,Higher,1.02E+12,32034.30774,2.948998239,United States,0,365,Federal
1,2004-S2,"We recognize the need for balanced energy policies, which increase energy supplies and encourage more efficient energy use and conservation, including through new technologies",0.777777778,Climate Change,Canada,2004,No,252,1,No,No,Lower,1.02E+12,32034.30774,2.948998239,United States,0,365,Federal
1,2004-246,"[Last year at Evian we agreed, ""to support the development of cleaner sustainable and more efficient technologies."" We reaffirm our conviction that cooperative scientific research on transformation technologies offers potential to improve public health by cutting pollution and reduce greenhouse gas emission to address the challenge of global climate change.",0.33,Climate Change,Canada,2004,No,252,1,No,No,Higher,1.02E+12,32034.30774,2.948998239,United States,0,365,Federal
0,2005-18,We reaffirm our commitment to the UNFCCC and to its ultimate objective to stabilise greenhouse gas concentrations in the atmosphere at a level that prevents dangerous anthropogenic interference with the climate system. ,0.444444444,Climate Change,Canada,2005,No,212,21,Yes,No,Higher,1.17E+12,36266.18712,4.008877922,United Kingdom,2,-111,Federal
1,Jan-05,"""We resolved to take action to meet the challenges we face. The Gleneagles Plan of Action which we have agreed demonstrates our commitment. We will take measures to develop markets for clean energy technologies, to increase their availability in developing countries, and to help vulnerable communities adapt to the impact of climate change.”",1,Climate Change,Canada,2005,No,212,21,No,Yes,Higher,1.17E+12,36266.18712,4.008877922,United Kingdom,2,-111,Federal
1,Feb-05,"“We will advance the global effort to tackle climate change at the UN Climate Change Conference in Montreal later this year. Those of us who have ratified the Kyoto Protocol remain committed to it, and will continue to work to make it a success”",0.888888889,Climate Change,Canada,2005,No,212,21,Yes,No,Higher,1.17E+12,36266.18712,4.008877922,United Kingdom,2,-111,Federal
1,2005- 158,"""We will encourage the development of cleaner, more efficient and lower-emitting vehicles, and promote their deployment, by: Adopting ambitious policies to encourage sales of such vehicles in our countries, including making use of public procurement as appropriate to accelerate market development;”",0.666666667,Climate Change,Canada,2005,No,212,21,No,No,Higher,1.17E+12,36266.18712,4.008877922,United Kingdom,2,-111,Federal
1,2005-15,"We also committed to address products of interest to Least Developed Countries in the negotiations, and to ensure Least Developed Countries have the flexibility to decide their own economic strategies. ",1,Climate Change,Canada,2005,No,212,21,No,Yes,Higher,1.17E+12,36266.18712,4.008877922,United Kingdom,2,-111,Federal
0,2006-62,"environmentally sound development and use of energy, and deployment and transfer of clean energy technologies which help to tackle climate change;",0.222222222,Climate Change,Canada,2006,No,317,20,No,No,Lower,1.32E+12,40385.86996,3.118693054,Russia,1,80,Federal
0,2006-99,"""A comprehensive approach within the international community to energy saving, energy efficiency and the extension of relevant efforts, including sharing best practices, to the entire energy value chain are important in this respect. For this purpose, we shall undertake to: consider national goals for reducing energy intensity of economic development to be reported by the end of the year""",0.333333333,Climate Change,Canada,2006,No,317,20,No,No,Higher,1.32E+12,40385.86996,3.118693054,Russia,1,80,Federal
1,2006-110 (SS),raising the environmental and efficiency levels for processing hydrocarbons;,-0.111111111,Climate Change,Canada,2006,No,317,20,No,No,Higher,1.32E+12,40385.86996,3.118693054,Russia,1,80,Federal
1,2006-116,"""For making transportation more energy efficient and environmentally advanced we shall: develop programs in our respective countries, consistent with national circumstances, to provide incentives for consumers to adopt efficient vehicles, including clean diesels and hybrids; and introduce on a large scale efficient public hybrid and/or clean diesel transportation systems, where appropriate""",0.444444444,Climate Change,Canada,2006,No,317,20,No,No,Higher,1.32E+12,40385.86996,3.118693054,Russia,1,80,Federal
0,2006-123,"We will work to develop low-carbon and alternative energy, to make wider use of renewables and to develop and introduce innovative technologies throughout the entire energy sector. ",0.333333333,Climate Change,Canada,2006,No,317,20,No,No,Higher,1.32E+12,40385.86996,3.118693054,Russia,1,80,Federal
-1,2006-138,Therefore we will work with the private sector to accelerate utilization of innovative technologies that advance more efficient hydrocarbon production and reduce the environmental impact of its production and use. ,0.222222222,Climate Change,Canada,2006,No,317,20,No,No,Higher,1.32E+12,40385.86996,3.118693054,Russia,1,80,Federal
1,2006-156,"""We will facilitate development of local energy resources, including those based on core generation technologies and on renewable energy, such as hydropower, wind power, geothermal power, biomass, and the effective use of solar energy, to contribute to poverty reduction and long-term energy sustainability in developing countries.""",0.888888889,Climate Change,Canada,2006,No,317,20,No,Yes,Higher,1.32E+12,40385.86996,3.118693054,Russia,1,80,Federal
0,2006-162,"""We reaffirm our intention to deliver on commitments made in Gleneagles in order to meet our shared and multiple objectives of reducing greenhouse gas emissions, improving the global environment, enhancing energy security and cutting air pollution in conjunction with our vigorous efforts to reduce poverty.""",0.777777778,Climate Change,Canada,2006,No,317,20,No,No,Higher,1.32E+12,40385.86996,3.118693054,Russia,1,80,Federal
-1,2006-165,"With respect to climate change, we reaffirm our shared commitment under the UNFCCC and its related mechanisms. ",0,Climate Change,Canada,2006,No,317,20,Yes,No,Higher,1.32E+12,40385.86996,3.118693054,Russia,1,80,Federal
0,2007-28,"To this end, we are committed to the further development of the international regime to combat climate change, especially in the run up to the UN Climate Change Conference in Indonesia at the end of this year. ",0.222222222,Climate Change,Canada,2007,No,329,34,Yes,No,Higher,1.46E+12,44543.04104,5.835793377,Germany,1,-83,Federal
1,2007-35,"""[We acknowledge that the UN climate process is the appropriate forum for negotiating future global action on climate change.] We are committed to moving forward in that forum and call on all parties to actively and constructively participate in the UN Climate Change Conference in Indonesia in December 2007 with a view to achieving a comprehensive post 2012-agreement (post Kyoto-agreement) that should include all major emitters.""",1,Climate Change,Canada,2007,Yes,329,34,Yes,No,Higher,1.46E+12,44543.04104,5.835793377,Germany,1,-83,Federal
1,2007-36,"""We have urgently to develop, deploy and foster the use of sustainable, less carbon intensive, clean energy and climate-friendly technologies in all areas of energy production and use.""",0.444444444,Climate Change,Canada,2007,No,329,34,No,No,Lower,1.46E+12,44543.04104,5.835793377,Germany,1,-83,Federal
0,2007-44,"We are determined to assist in reducing emissions from deforestation, especially in developing countries.",0.555555556,Climate Change,Canada,2007,No,329,34,No,Yes,Higher,1.46E+12,44543.04104,5.835793377,Germany,1,-83,Federal
1,2008-27 (CB),"In this regard, we will work together with other relevant stakeholders to develop science-based benchmarks and indicators for biofuel production and use",0.888888889,Climate Change,Canada,2008,No,296,55,No,No,Higher,1.55E+12,46594.45095,-0.080294859,Japan,1,-44,Federal
1,2008-55,"""In this respect, we acknowledge our leadership role and each of us will implement ambitious economy-wide mid-term goals in order to achieve absolute emissions reductions and, where applicable, first stop the growth of emissions as soon as possible, reflecting comparable efforts among all developed economies, taking into account differences in their national circumstances.""",0.777777778,Climate Change,Canada,2008,No,296,55,No,No,Higher,1.55E+12,46594.45095,-0.080294859,Japan,1,-44,Federal
1,2008-72,"""We strongly support the launching of 20 large-scale CCS demonstration projects globally by 2010, taking into account various national circumstances, with a view to beginning broad deployment of CCS by 2020.""",0.333333333,Climate Change,Canada,2008,Yes,296,55,No,No,Lower,1.55E+12,46594.45095,-0.080294859,Japan,1,-44,Federal
0,2008-251,"Conscious of our leadership role in meeting such challenges, we, the leaders of the world's major economies, both developed and developing, commit to combat climate change in accordance with our common but differentiated responsibilities and respective capabilities and confront the interlinked challenges of sustainable development, including energy and food security, and human health",0.111111111,Climate Change,Canada,2008,No,296,55,No,No,Higher,1.55E+12,46594.45095,-0.080294859,Japan,1,-44,Federal
1,2008-265,"""We will work together in accordance with our Convention commitments to strengthen the ability of developing countries, particularly the most vulnerable ones, to adapt to climate change. This includes the development and dissemination of tools and methodologies to improve vulnerability and adaptation assessments, the integration of climate change adaptation into overall development strategies, increased implementation of adaptation strategies, increased emphasis on adaptation technologies, strengthening resilience and reducing vulnerability, and consideration of means to stimulate investment and increased availability of financial and technical assistance.""",0.555555556,Climate Change,Canada,2008,No,296,55,No,Yes,Higher,1.55E+12,46594.45095,-0.080294859,Japan,1,-44,Federal
1,2009-49 (456),"""We reconfirm our strong commitment to the UNFCCC negotiations and to the successful conclusion of a global, wide-ranging and ambitious post-2012 agreement in Copenhagen, involving all countries, consistent with the principle of common but differentiated responsibilities and respective capabilities.""",0.666666667,Climate Change,Canada,2009,Yes,254,42,Yes,No,Higher,1.37E+12,40773.06153,-4.03041986,Italy,1,-77,Federal
1,2009-64,"""Recognising the importance of research and development, we committed in Toyako to increase investment in basic and applied clean technology research and development. We will intensify such efforts and explore options to enhance global technology cooperation.""",1,Climate Change,Canada,2009,No,254,42,No,No,Higher,1.37E+12,40773.06153,-4.03041986,Italy,1,-77,Federal
1,2009-66,"""[To promote concerted efforts on technology and financing, we:] call for the elaboration and implementation of an effective financial
arrangement to support the post-2012 regime.""",0.888888889,Climate Change,Canada,2009,Yes,254,42,No,No,Higher,1.37E+12,40773.06153,-4.03041986,Italy,1,-77,Federal
0,2009-73,"""[Aware that deforestation accounts for approximately 20% of annual CO2 emissions, and that forests are an essential repository of biological diversity and key to the livelihoods and rights of many people, we remain engaged in seeking the reduction of emissions from deforestation and forest degradation and in further promoting sustainable forest management globally. We will:] support the development of positive incentives in particular for developing countries to promote emission reductions through actions to reduce deforestation and forest degradation.""",0.666666667,Climate Change,Canada,2009,No,254,42,No,Yes,Higher,1.37E+12,40773.06153,-4.03041986,Italy,1,-77,Federal
1,2009-98,"""[Reaffirming the commitment made in Toyako for the launch of 20 large-scale Carbon Capture and Storage demonstration projects globally by 2010, we will:] accelerate the design of policies, regulatory frameworks and incentive schemes focused on the development and deployment of CCS technology""",0,Climate Change,Canada,2009,Yes,254,42,No,No,Higher,1.37E+12,40773.06153,-4.03041986,Italy,1,-77,Federal
-1,2010-26,"""Consistent with this ambitious long-term objective, we will undertake robust aggregate and individual mid-term reductions, taking into account that baselines may vary and that efforts need to be comparable.""",0.222222222,Climate Change,Canada,2010,No,73,10,No,No,Higher,1.61E+12,47450.31847,1.94962821,Canada,0,365,Federal
0,2010-27,"""Recognizing the scientific view that the increase in global temperature should not exceed 2 degrees Celsius, we also call for the full and effective implementation of all the provisions of the Accord, including those related to measurement, reporting and verification thereby promoting transparency and trust.""",-0.222222222,Climate Change,Canada,2010,No,73,10,No,No,Higher,1.61E+12,47450.31847,1.94962821,Canada,0,365,Federal
1,2010-28,"In this context, we are putting in place our respective fast-start finance contributions to help address the most urgent and immediate needs of the most vulnerable developing countries and to help developing countries lay the ground work for long-term, low-emission development",1,Climate Change,Canada,2010,No,73,10,No,Yes,Lower,1.61E+12,47450.31847,1.94962821,Canada,0,365,Federal
1,2010-55,"""Recognizing the challenges faced by countries in the aftermath of natural disasters to provide security and basic services to civilians, we reaffirm our commitment to support Haiti and will work to strengthen existing international coordination mechanisms to improve the timeliness, effectiveness and coordination of the international response to such disasters and will continue to support the United Nations Global Platform for Disaster Risk Reduction.""",0.777777778,Climate Change,Canada,2010,No,73,10,No,No,Higher,1.61E+12,47450.31847,1.94962821,Canada,0,365,Federal
1,2011-51,"""Consistent with this ambitious long-term objective, we will undertake robust aggregate and individual mid-term reductions, taking into account that baselines may vary and that efforts need to be comparable.""",0.666666667,Climate Change,Canada,2011,No,193,6,No,No,Higher,1.79E+12,52101.79609,2.142309001,France,0,365,Federal
1,2012-29,"""Recognizing the impact of short-lived climate pollutants on near-term climate change, agricultural productivity, and human health, we support, as a means of promoting increased ambition and complementary to other CO2 and GHG emission reduction efforts, comprehensive actions to reduce these pollutants.""",0.111111111,Climate Change,Canada,2012,No,141,5,No,No,Lower,1.82E+12,52542.34666,0.663303088,United States,0,365,Federal
1,2013-145,"We will pursue ambitious and transparent action] internationally, in the UNFCCC, complemented by actions addressed through other relevant fora, including but not limited to:] the Climate and Clean Air Coalition which we all committed to join at our last Summit, where we will build on the eight global initiatives already begun and further develop the scientific evidence base and private sector involvement.",0.555555556,Climate Change,Canada,2013,No,214,24,Yes,No,Higher,1.84E+12,52504.6557,1.25465502,United Kingdom,0,365,Federal
-1,2013-150,We reiterate our commitment to the developed countries’ goal of mobilising jointly $100billion of climate finance per year by 2020 from a wide variety of sources in the context of meaningful mitigation actions and transparency on implementation ,-0.111111111,Climate Change,Canada,2013,Yes,214,24,No,No,Higher,1.84E+12,52504.6557,1.25465502,United Kingdom,0,365,Federal
1,2014-44,“We therefore remain committed to low-carbon economies with a view to doing our part to limit effectively the increase in global temperature below 2°C above pre-industrial levels.”,0.625,Climate Change,Canada,2014,No,141,13,No,No,Higher,1.8E+12,50835.51118,1.839459846,European Union,0,365,Federal
0,2014-49,"We reaffirm our support for the Copenhagen Accord commitments to mobilize USD 100 billion per year by 2020 from a wide variety of sources, both public and private, to address the climate mitigation and adaptation needs of developing countries in the context of their meaningful and transparent mitigation actions.”",0.625,Climate Change,Canada,2014,Yes,141,13,No,Yes,Higher,1.8E+12,50835.51118,1.839459846,European Union,0,365,Federal
0,2015-33,the G7 commits to putting [protection of our climate] at the centre of our growth agenda. ,0.75,Climate Change,Canada,2015,No,376,23,No,No,Higher,1.55E+12,43495.05439,-0.058784637,Germany,0,365,Federal
0,2015-187,To this end we also commit to develop long term national low-carbon strategies. ,0.5,Climate Change,Canada,2015,No,376,23,No,No,Higher,1.55E+12,43495.05439,-0.058784637,Germany,0,365,Federal
0,2015-188,"We reaffirm our strong commitment to the Copenhagen Accord to mobilizing jointly USD 100 billion a year by 2020 from a wide variety of sources, both public and private in the context of meaningful mitigation actions and transparency on implementation. ",0.75,Climate Change,Canada,2015,Yes,376,23,No,No,Higher,1.55E+12,43495.05439,-0.058784637,Germany,0,365,Federal
1,2015-192,we will: Intensify our support particularly for vulnerable countries’ own (climate change)efforts to manage climate change related disaster risk ,0.625,Climate Change,Canada,2015,No,376,23,No,No,Higher,1.55E+12,43495.05439,-0.058784637,Germany,0,365,Federal
1,2015-194,We will aim to increase by up to 400 million the number of people in the most vulnerable developing countries who have access to direct or indirect insurance coverage against the negative impact of climate change related hazards by 2020. ,0.375,Climate Change,Canada,2015,Yes,376,23,No,Yes,Higher,1.55E+12,43495.05439,-0.058784637,Germany,0,365,Federal
1,2016-25,"The G7, continuing to take a leadership role, commits to taking the necessary steps to secure ratification, acceptance or approval of the [Paris] agreement as soon as possible and calls on all Parties to do so striving for a goal of entry into force in 2016.",1,Climate Change,Canada,2016,Yes,342,12,No,No,Higher,1.53E+12,42279.90082,-0.031327848,Japan,1,-11,Federal
0,2016-166,"We support adoption of an ambitious Montreal Protocol HFC phase-down amendment in 2016, and intend to provide additional support through the Multilateral Fund following adoption of an amendment for its implementation.",0,Climate Change,Canada,2016,Yes,342,12,No,No,Higher,1.53E+12,42279.90082,-0.031327848,Japan,1,-11,Federal
1,2017-65,"Understanding this process, the Heads of State and of Governments of Canada, France, Germany, Italy, Japan and the United Kingdom and the Presidentsof the European Council and of the European Commission reaffirm their strong commitment to swiftly implement the Paris Agreement, as previously stated at the Ise-Shima Summit. ",0.71,Climate Change,Canada,2017,No,180,1,No,No,Higher,1.65E+12,45069.92725,1.764529713,Italy,1,16,Federal
1,1998-23,"We will also continue our efforts to reduce the global scourge of AIDS through vaccine development, preventive programmes and appropriate therapy, and by our continued support for UNAIDS. ",0.333333333,Health,Canada,1998,No,73,4,Yes,No,Higher,6.32E+11,20952.06946,1.946954614,United Kingdom,0,365,Federal
1,1998-24,"We welcome the French proposal for a 'Therapeutic Solidarity Initiative' and other proposals for the prevention and treatment of AIDS, and request our experts to examine speedily the feasibility of their implementation. ",0.111111111,Health,Canada,1998,No,73,4,No,No,Higher,6.32E+11,20952.06946,1.946954614,United Kingdom,0,365,Federal
1,1998-38,"We are concerned at the continuing global spread of AIDS. We reaffirm the need to continue efforts to combat AIDS at the national and international level through a combined strategy of prevention, vaccine development and appropriate therapy.",0.625,Health,Canada,1998,No,73,4,No,No,Higher,6.32E+11,20952.06946,1.946954614,United Kingdom,0,365,Federal
0,1999-39,"We also pledge to continue our national and international efforts in the fight against infectious and parasitic diseases, such as malaria, polio and tuberculosis, and their drug-resistant forms.",0,Health,Canada,1999,No,46,3,No,No,Higher,6.76E+11,22238.66454,3.128791699,Germany,0,365,Federal
1,2000-23,"implement an ambitious plan on infectious diseases, notably HIV/AIDS, malaria and TB ",0.428571429,Health,Canada,2000,No,105,14,No,No,Higher,7.42E+11,24190.24962,3.945218535,Japan,0,365,Federal
1,2000-36,"“We therefore commit ourselves to working in strengthened partnership with governments, the World Health Organization (WHO) and other international organisations, industry (notably pharmaceutical companies), academic institutions, non-governmental organizations and other relevant actors in civil society to deliver three critical UN targets”: a) Reduce the number of HIV/AIDS-infected young people by 25% by 2010; b) Reduce TB deaths and prevalence of the disease by 50% by 2010; c) Reduce the burden of disease associated with malaria by 50% by 2010",1,Health,Canada,2000,Yes,105,14,Yes,No,Higher,7.42E+11,24190.24962,3.945218535,Japan,0,365,Federal
1,2000-37,"“We therefore commit ourselves to working in strengthened partnership with governments, the World Health Organization (WHO) and other international organisations, industry (notably pharmaceutical companies), academic institutions, non-governmental organizations and other relevant actors in civil society to deliver three critical UN targets”: a) Reduce the number of HIV/AIDS-infected young people by 25% by 2010; b) Reduce TB deaths and prevalence of the disease by 50% by 2010; c) Reduce the burden of disease associated with malaria by 50% by 2010",1,Health,Canada,2000,Yes,105,14,Yes,No,Higher,7.42E+11,24190.24962,3.945218535,Japan,0,365,Federal
1,2000-38,"“We therefore commit ourselves to working in strengthened partnership with governments, the World Health Organization (WHO) and other international organisations, industry (notably pharmaceutical companies), academic institutions, non-governmental organizations and other relevant actors in civil society to deliver three critical UN targets”: a) Reduce the number of HIV/AIDS-infected young people by 25% by 2010; b) Reduce TB deaths and prevalence of the disease by 50% by 2010; c) Reduce the burden of disease associated with malaria by 50% by 2010",1,Health,Canada,2000,Yes,105,14,Yes,No,Higher,7.42E+11,24190.24962,3.945218535,Japan,0,365,Federal
1,2000-76,Pursue healthy ageing policies that permit a continued high quality of life ,0.666666667,Health,Canada,2000,No,105,14,No,No,Higher,7.42E+11,24190.24962,3.945218535,Japan,0,365,Federal
1,2001-26,"At Okinawa last year, we pledged to make a quantum leap in the fight against infectious diseases and to break the vicious cycle between disease and poverty. To meet that commitment and to respond to the appeal of the UN General Assembly, we have launched with the UN Secretary-General a new Global Fund to fight HIV/AIDS, malaria and tuberculosis. We are determined to make the Fund operational before the end of the year. We have committed $1.3 billion. The Fund will be a public-private partnership and we call on other countries, the private sector, foundations, and academic institutions to join with their own contributions - financially, in kind and through shared expertise. We welcome the further commitments already made amounting to some $500 million.",0.75,Health,Canada,2001,No,58,3,Yes,No,Higher,7.36E+11,23738.18072,0.309869789,Italy,0,365,Federal
1,2001-28,"At the same time, we reaffirm our commitment to strong and effective intellectual property rights protection as a necessary incentive for research and development of life-saving drugs. ",1,Health,Canada,2001,No,58,3,No,No,Higher,7.36E+11,23738.18072,0.309869789,Italy,0,365,Federal
1,Nov-02,"“We underlined the devastating consequences for Africa’s development of diseases such as malaria, tuberculosis, and HIV/AIDS.  In addition to our ongoing commitments to combat these diseases, we committed to provide sufficient resources to eradicate polio by 2005.”",0,Health,Canada,2002,Yes,187,18,No,No,Higher,7.58E+11,24169.28473,2.303577116,Canada,0,365,Federal
1,2002-109,"Supporting programmes that help mothers and children infected or affected by HIV/AIDS, including children orphaned by AIDS ",1,Health,Canada,2002,No,187,18,No,No,Lower,7.58E+11,24169.28473,2.303577116,Canada,0,365,Federal
