Compliance Score,Issue-Area,Country,Year,Mentions Specific Date,Total Number of Commitments,Number of Same-Issue Commitments,Mentions UN,Mentions Developing Countries,Binding Level,GDP,GDP per Capita,GDP per Capita Growth,Host Country,Number of Ministerials,Closest Ministerial,Government Type
1.0,Climate Change,Canada,2004.0,Yes,252.0,1.0,No,No,Higher,1020000000000.0,32034.307739999997,2.948998239,United States,0.0,365.0,Federal
1.0,Climate Change,Canada,2004.0,No,252.0,1.0,No,No,Lower,1020000000000.0,32034.307739999997,2.948998239,United States,0.0,365.0,Federal
1.0,Climate Change,Canada,2004.0,No,252.0,1.0,No,No,Higher,1020000000000.0,32034.307739999997,2.948998239,United States,0.0,365.0,Federal
0.0,Climate Change,Canada,2005.0,No,212.0,21.0,Yes,No,Higher,1170000000000.0,36266.18712,4.008877922,United Kingdom,2.0,-111.0,Federal
1.0,Climate Change,Canada,2005.0,No,212.0,21.0,No,Yes,Higher,1170000000000.0,36266.18712,4.008877922,United Kingdom,2.0,-111.0,Federal
1.0,Climate Change,Canada,2005.0,No,212.0,21.0,Yes,No,Higher,1170000000000.0,36266.18712,4.008877922,United Kingdom,2.0,-111.0,Federal
1.0,Climate Change,Canada,2005.0,No,212.0,21.0,No,No,Higher,1170000000000.0,36266.18712,4.008877922,United Kingdom,2.0,-111.0,Federal
1.0,Climate Change,Canada,2005.0,No,212.0,21.0,No,Yes,Higher,1170000000000.0,36266.18712,4.008877922,United Kingdom,2.0,-111.0,Federal
0.0,Climate Change,Canada,2006.0,No,317.0,20.0,No,No,Lower,1320000000000.0,40385.86996,3.118693054,Russia,1.0,80.0,Federal
0.0,Climate Change,Canada,2006.0,No,317.0,20.0,No,No,Higher,1320000000000.0,40385.86996,3.118693054,Russia,1.0,80.0,Federal
1.0,Climate Change,Canada,2006.0,No,317.0,20.0,No,No,Higher,1320000000000.0,40385.86996,3.118693054,Russia,1.0,80.0,Federal
1.0,Climate Change,Canada,2006.0,No,317.0,20.0,No,No,Higher,1320000000000.0,40385.86996,3.118693054,Russia,1.0,80.0,Federal
0.0,Climate Change,Canada,2006.0,No,317.0,20.0,No,No,Higher,1320000000000.0,40385.86996,3.118693054,Russia,1.0,80.0,Federal
-1.0,Climate Change,Canada,2006.0,No,317.0,20.0,No,No,Higher,1320000000000.0,40385.86996,3.118693054,Russia,1.0,80.0,Federal
1.0,Climate Change,Canada,2006.0,No,317.0,20.0,No,Yes,Higher,1320000000000.0,40385.86996,3.118693054,Russia,1.0,80.0,Federal
0.0,Climate Change,Canada,2006.0,No,317.0,20.0,No,No,Higher,1320000000000.0,40385.86996,3.118693054,Russia,1.0,80.0,Federal
-1.0,Climate Change,Canada,2006.0,No,317.0,20.0,Yes,No,Higher,1320000000000.0,40385.86996,3.118693054,Russia,1.0,80.0,Federal
0.0,Climate Change,Canada,2007.0,No,329.0,34.0,Yes,No,Higher,1460000000000.0,44543.04104,5.835793377000001,Germany,1.0,-83.0,Federal
1.0,Climate Change,Canada,2007.0,Yes,329.0,34.0,Yes,No,Higher,1460000000000.0,44543.04104,5.835793377000001,Germany,1.0,-83.0,Federal
1.0,Climate Change,Canada,2007.0,No,329.0,34.0,No,No,Lower,1460000000000.0,44543.04104,5.835793377000001,Germany,1.0,-83.0,Federal
0.0,Climate Change,Canada,2007.0,No,329.0,34.0,No,Yes,Higher,1460000000000.0,44543.04104,5.835793377000001,Germany,1.0,-83.0,Federal
1.0,Climate Change,Canada,2008.0,No,296.0,55.0,No,No,Higher,1550000000000.0,46594.45095,-0.08029485900000001,Japan,1.0,-44.0,Federal
1.0,Climate Change,Canada,2008.0,No,296.0,55.0,No,No,Higher,1550000000000.0,46594.45095,-0.08029485900000001,Japan,1.0,-44.0,Federal
1.0,Climate Change,Canada,2008.0,Yes,296.0,55.0,No,No,Lower,1550000000000.0,46594.45095,-0.08029485900000001,Japan,1.0,-44.0,Federal
0.0,Climate Change,Canada,2008.0,No,296.0,55.0,No,No,Higher,1550000000000.0,46594.45095,-0.08029485900000001,Japan,1.0,-44.0,Federal
1.0,Climate Change,Canada,2008.0,No,296.0,55.0,No,Yes,Higher,1550000000000.0,46594.45095,-0.08029485900000001,Japan,1.0,-44.0,Federal
1.0,Climate Change,Canada,2009.0,Yes,254.0,42.0,Yes,No,Higher,1370000000000.0,40773.06153,-4.03041986,Italy,1.0,-77.0,Federal
1.0,Climate Change,Canada,2009.0,No,254.0,42.0,No,No,Higher,1370000000000.0,40773.06153,-4.03041986,Italy,1.0,-77.0,Federal
1.0,Climate Change,Canada,2009.0,Yes,254.0,42.0,No,No,Higher,1370000000000.0,40773.06153,-4.03041986,Italy,1.0,-77.0,Federal
0.0,Climate Change,Canada,2009.0,No,254.0,42.0,No,Yes,Higher,1370000000000.0,40773.06153,-4.03041986,Italy,1.0,-77.0,Federal
1.0,Climate Change,Canada,2009.0,Yes,254.0,42.0,No,No,Higher,1370000000000.0,40773.06153,-4.03041986,Italy,1.0,-77.0,Federal
-1.0,Climate Change,Canada,2010.0,No,73.0,10.0,No,No,Higher,1610000000000.0,47450.31847,1.94962821,Canada,0.0,365.0,Federal
0.0,Climate Change,Canada,2010.0,No,73.0,10.0,No,No,Higher,1610000000000.0,47450.31847,1.94962821,Canada,0.0,365.0,Federal
1.0,Climate Change,Canada,2010.0,No,73.0,10.0,No,Yes,Lower,1610000000000.0,47450.31847,1.94962821,Canada,0.0,365.0,Federal
1.0,Climate Change,Canada,2010.0,No,73.0,10.0,No,No,Higher,1610000000000.0,47450.31847,1.94962821,Canada,0.0,365.0,Federal
1.0,Climate Change,Canada,2011.0,No,193.0,6.0,No,No,Higher,1790000000000.0,52101.796089999996,2.142309001,France,0.0,365.0,Federal
1.0,Climate Change,Canada,2012.0,No,141.0,5.0,No,No,Lower,1820000000000.0,52542.34666,0.6633030879999999,United States,0.0,365.0,Federal
1.0,Climate Change,Canada,2013.0,No,214.0,24.0,Yes,No,Higher,1840000000000.0,52504.6557,1.25465502,United Kingdom,0.0,365.0,Federal
-1.0,Climate Change,Canada,2013.0,Yes,214.0,24.0,No,No,Higher,1840000000000.0,52504.6557,1.25465502,United Kingdom,0.0,365.0,Federal
1.0,Climate Change,Canada,2014.0,No,141.0,13.0,No,No,Higher,1800000000000.0,50835.51118,1.839459846,European Union,0.0,365.0,Federal
0.0,Climate Change,Canada,2014.0,Yes,141.0,13.0,No,Yes,Higher,1800000000000.0,50835.51118,1.839459846,European Union,0.0,365.0,Federal
0.0,Climate Change,Canada,2015.0,No,376.0,23.0,No,No,Higher,1550000000000.0,43495.05439,-0.058784637,Germany,0.0,365.0,Federal
0.0,Climate Change,Canada,2015.0,No,376.0,23.0,No,No,Higher,1550000000000.0,43495.05439,-0.058784637,Germany,0.0,365.0,Federal
0.0,Climate Change,Canada,2015.0,Yes,376.0,23.0,No,No,Higher,1550000000000.0,43495.05439,-0.058784637,Germany,0.0,365.0,Federal
1.0,Climate Change,Canada,2015.0,No,376.0,23.0,No,No,Higher,1550000000000.0,43495.05439,-0.058784637,Germany,0.0,365.0,Federal
1.0,Climate Change,Canada,2015.0,Yes,376.0,23.0,No,Yes,Higher,1550000000000.0,43495.05439,-0.058784637,Germany,0.0,365.0,Federal
1.0,Climate Change,Canada,2016.0,Yes,342.0,12.0,No,No,Higher,1530000000000.0,42279.900819999995,-0.031327848,Japan,1.0,-11.0,Federal
0.0,Climate Change,Canada,2016.0,Yes,342.0,12.0,No,No,Higher,1530000000000.0,42279.900819999995,-0.031327848,Japan,1.0,-11.0,Federal
1.0,Climate Change,Canada,2017.0,No,180.0,1.0,No,No,Higher,1650000000000.0,45069.92725,1.7645297130000002,Italy,1.0,16.0,Federal
1.0,Health,Canada,1998.0,No,73.0,4.0,Yes,No,Higher,632000000000.0,20952.06946,1.946954614,United Kingdom,0.0,365.0,Federal
1.0,Health,Canada,1998.0,No,73.0,4.0,No,No,Higher,632000000000.0,20952.06946,1.946954614,United Kingdom,0.0,365.0,Federal
1.0,Health,Canada,1998.0,No,73.0,4.0,No,No,Higher,632000000000.0,20952.06946,1.946954614,United Kingdom,0.0,365.0,Federal
0.0,Health,Canada,1999.0,No,46.0,3.0,No,No,Higher,676000000000.0,22238.66454,3.1287916989999998,Germany,0.0,365.0,Federal
1.0,Health,Canada,2000.0,No,105.0,14.0,No,No,Higher,742000000000.0,24190.24962,3.945218535,Japan,0.0,365.0,Federal
1.0,Health,Canada,2000.0,Yes,105.0,14.0,Yes,No,Higher,742000000000.0,24190.24962,3.945218535,Japan,0.0,365.0,Federal
1.0,Health,Canada,2000.0,Yes,105.0,14.0,Yes,No,Higher,742000000000.0,24190.24962,3.945218535,Japan,0.0,365.0,Federal
1.0,Health,Canada,2000.0,Yes,105.0,14.0,Yes,No,Higher,742000000000.0,24190.24962,3.945218535,Japan,0.0,365.0,Federal
1.0,Health,Canada,2000.0,No,105.0,14.0,No,No,Higher,742000000000.0,24190.24962,3.945218535,Japan,0.0,365.0,Federal
1.0,Health,Canada,2001.0,No,58.0,3.0,Yes,No,Higher,736000000000.0,23738.18072,0.309869789,Italy,0.0,365.0,Federal
1.0,Health,Canada,2001.0,No,58.0,3.0,No,No,Higher,736000000000.0,23738.18072,0.309869789,Italy,0.0,365.0,Federal
1.0,Health,Canada,2002.0,Yes,187.0,18.0,No,No,Higher,758000000000.0,24169.28473,2.303577116,Canada,0.0,365.0,Federal
1.0,Health,Canada,2002.0,No,187.0,18.0,No,No,Lower,758000000000.0,24169.28473,2.303577116,Canada,0.0,365.0,Federal
0.0,Health,Canada,2002.0,No,187.0,18.0,No,No,Lower,758000000000.0,24169.28473,2.303577116,Canada,0.0,365.0,Federal
1.0,Health,Canada,2002.0,No,187.0,18.0,No,No,Lower,758000000000.0,24169.28473,2.303577116,Canada,0.0,365.0,Federal
1.0,Health,Canada,2002.0,No,187.0,18.0,No,No,Lower,758000000000.0,24169.28473,2.303577116,Canada,0.0,365.0,Federal
1.0,Health,Canada,2002.0,No,187.0,18.0,No,No,Lower,758000000000.0,24169.28473,2.303577116,Canada,0.0,365.0,Federal
1.0,Health,Canada,2002.0,No,187.0,18.0,No,No,Higher,758000000000.0,24169.28473,2.303577116,Canada,0.0,365.0,Federal
1.0,Health,Canada,2002.0,No,187.0,18.0,No,No,Lower,758000000000.0,24169.28473,2.303577116,Canada,0.0,365.0,Federal
1.0,Health,Canada,2003.0,No,205.0,15.0,No,No,Higher,892000000000.0,28200.65808,2.879569876,France,0.0,365.0,Federal
1.0,Health,Canada,2003.0,No,205.0,15.0,No,No,Higher,892000000000.0,28200.65808,2.879569876,France,0.0,365.0,Federal
1.0,Health,Canada,2003.0,Yes,205.0,15.0,No,No,Higher,892000000000.0,28200.65808,2.879569876,France,0.0,365.0,Federal
1.0,Health,Canada,2003.0,No,205.0,15.0,No,No,Higher,892000000000.0,28200.65808,2.879569876,France,0.0,365.0,Federal
1.0,Health,Canada,2003.0,No,205.0,15.0,No,No,Higher,892000000000.0,28200.65808,2.879569876,France,0.0,365.0,Federal
1.0,Health,Canada,2004.0,No,252.0,9.0,No,Yes,Higher,1020000000000.0,32034.307739999997,2.948998239,United States,0.0,365.0,Federal
1.0,Health,Canada,2004.0,Yes,252.0,9.0,No,No,Higher,1020000000000.0,32034.307739999997,2.948998239,United States,0.0,365.0,Federal
-1.0,Health,Canada,2005.0,No,212.0,11.0,No,No,Higher,1170000000000.0,36266.18712,4.008877922,United Kingdom,0.0,365.0,Federal
0.0,Health,Canada,2005.0,No,212.0,11.0,No,No,Lower,1170000000000.0,36266.18712,4.008877922,United Kingdom,0.0,365.0,Federal
1.0,Health,Canada,2005.0,Yes,212.0,11.0,Yes,No,Higher,1170000000000.0,36266.18712,4.008877922,United Kingdom,0.0,365.0,Federal
0.0,Health,Canada,2005.0,No,212.0,11.0,No,No,Higher,1170000000000.0,36266.18712,4.008877922,United Kingdom,0.0,365.0,Federal
1.0,Health,Canada,2005.0,Yes,212.0,11.0,No,No,Lower,1170000000000.0,36266.18712,4.008877922,United Kingdom,0.0,365.0,Federal
1.0,Health,Canada,2005.0,Yes,212.0,11.0,No,No,Lower,1170000000000.0,36266.18712,4.008877922,United Kingdom,0.0,365.0,Federal
1.0,Health,Canada,2006.0,No,317.0,60.0,No,No,Higher,1320000000000.0,40385.86996,3.118693054,Russia,1.0,-78.0,Federal
1.0,Health,Canada,2006.0,Yes,317.0,60.0,No,No,Higher,1320000000000.0,40385.86996,3.118693054,Russia,1.0,-78.0,Federal
1.0,Health,Canada,2006.0,Yes,317.0,60.0,No,No,Higher,1320000000000.0,40385.86996,3.118693054,Russia,1.0,-78.0,Federal
1.0,Health,Canada,2006.0,Yes,317.0,60.0,No,No,Higher,1320000000000.0,40385.86996,3.118693054,Russia,1.0,-78.0,Federal
0.0,Health,Canada,2006.0,No,317.0,60.0,No,Yes,Lower,1320000000000.0,40385.86996,3.118693054,Russia,1.0,-78.0,Federal
1.0,Health,Canada,2007.0,Yes,329.0,42.0,No,No,Higher,1460000000000.0,44543.04104,5.835793377000001,Germany,0.0,365.0,Federal
1.0,Health,Canada,2007.0,No,329.0,42.0,No,No,Lower,1460000000000.0,44543.04104,5.835793377000001,Germany,0.0,365.0,Federal
1.0,Health,Canada,2007.0,No,329.0,42.0,No,No,Higher,1460000000000.0,44543.04104,5.835793377000001,Germany,0.0,365.0,Federal
1.0,Health,Canada,2007.0,No,329.0,42.0,No,No,Higher,1460000000000.0,44543.04104,5.835793377000001,Germany,0.0,365.0,Federal
1.0,Health,Canada,2007.0,Yes,329.0,42.0,No,No,Higher,1460000000000.0,44543.04104,5.835793377000001,Germany,0.0,365.0,Federal
1.0,Health,Canada,2007.0,No,329.0,42.0,No,No,Higher,1460000000000.0,44543.04104,5.835793377000001,Germany,0.0,365.0,Federal
1.0,Health,Canada,2008.0,Yes,296.0,19.0,No,No,Higher,1550000000000.0,46594.45095,-0.08029485900000001,Japan,0.0,365.0,Federal
1.0,Health,Canada,2008.0,No,296.0,19.0,No,No,Higher,1550000000000.0,46594.45095,-0.08029485900000001,Japan,0.0,365.0,Federal
0.0,Health,Canada,2008.0,No,296.0,19.0,No,No,Higher,1550000000000.0,46594.45095,-0.08029485900000001,Japan,0.0,365.0,Federal
0.0,Health,Canada,2008.0,No,296.0,19.0,No,No,Higher,1550000000000.0,46594.45095,-0.08029485900000001,Japan,0.0,365.0,Federal
0.0,Health,Canada,2009.0,No,254.0,9.0,No,No,Higher,1370000000000.0,40773.06153,-4.03041986,Italy,0.0,365.0,Federal
1.0,Health,Canada,2009.0,Yes,254.0,9.0,No,Yes,Higher,1370000000000.0,40773.06153,-4.03041986,Italy,0.0,365.0,Federal
1.0,Health,Canada,2009.0,No,254.0,9.0,No,No,Higher,1370000000000.0,40773.06153,-4.03041986,Italy,0.0,365.0,Federal
1.0,Health,Canada,2010.0,No,73.0,12.0,No,No,Lower,1610000000000.0,47450.31847,1.94962821,Canada,0.0,365.0,Federal
1.0,Health,Canada,2010.0,No,73.0,12.0,No,No,Higher,1610000000000.0,47450.31847,1.94962821,Canada,0.0,365.0,Federal
1.0,Health,Canada,2010.0,No,73.0,12.0,No,No,Higher,1610000000000.0,47450.31847,1.94962821,Canada,0.0,365.0,Federal
1.0,Health,Canada,2010.0,No,73.0,12.0,No,No,Higher,1610000000000.0,47450.31847,1.94962821,Canada,0.0,365.0,Federal
1.0,Health,Canada,2011.0,Yes,193.0,7.0,No,No,Higher,1790000000000.0,52101.796089999996,2.142309001,France,0.0,365.0,Federal
1.0,Health,Canada,2012.0,No,141.0,1.0,No,No,Higher,1820000000000.0,52542.34666,0.6633030879999999,United States,0.0,365.0,Federal
1.0,Health,Canada,2013.0,No,214.0,2.0,No,No,Higher,1840000000000.0,52504.6557,1.25465502,United Kingdom,0.0,365.0,Federal
1.0,Health,Canada,2014.0,No,141.0,12.0,No,No,Higher,1800000000000.0,50835.51118,1.839459846,European Union,0.0,365.0,Federal
1.0,Health,Canada,2014.0,No,141.0,12.0,No,No,Higher,1800000000000.0,50835.51118,1.839459846,European Union,0.0,365.0,Federal
1.0,Health,Canada,2014.0,No,141.0,12.0,No,No,Higher,1800000000000.0,50835.51118,1.839459846,European Union,0.0,365.0,Federal
1.0,Health,Canada,2015.0,No,376.0,61.0,No,No,Higher,1550000000000.0,43495.05439,-0.058784637,Germany,1.0,123.0,Federal
1.0,Health,Canada,2015.0,No,376.0,61.0,No,No,Higher,1550000000000.0,43495.05439,-0.058784637,Germany,1.0,123.0,Federal
-1.0,Health,Canada,2015.0,No,376.0,61.0,No,No,Higher,1550000000000.0,43495.05439,-0.058784637,Germany,1.0,123.0,Federal
1.0,Health,Canada,2016.0,No,342.0,85.0,No,No,Higher,1530000000000.0,42279.900819999995,-0.031327848,Japan,1.0,108.0,Federal
1.0,Health,Canada,2016.0,No,342.0,85.0,No,No,Higher,1530000000000.0,42279.900819999995,-0.031327848,Japan,1.0,108.0,Federal
1.0,Health,Canada,2016.0,Yes,342.0,85.0,No,No,Higher,1530000000000.0,42279.900819999995,-0.031327848,Japan,1.0,108.0,Federal
0.0,Health,Canada,2017.0,No,180.0,7.0,No,No,Higher,1650000000000.0,45069.92725,1.7645297130000002,Italy,1.0,163.0,Federal
0.0,Development,Canada,1996.0,No,128.0,23.0,No,No,Higher,629000000000.0,21227.347530000003,0.5624678329999999,France,0.0,365.0,Federal
-1.0,Development,Canada,1997.0,No,145.0,19.0,No,No,Higher,653000000000.0,21829.23344,3.2488493569999997,United States,0.0,365.0,Federal
0.0,Development,Canada,1998.0,No,73.0,7.0,No,No,Higher,632000000000.0,20952.06946,1.946954614,United Kingdom,0.0,365.0,Federal
1.0,Development,Canada,1999.0,No,46.0,8.0,No,No,Lower,676000000000.0,22238.66454,3.1287916989999998,Germany,0.0,365.0,Federal
1.0,Development,Canada,1999.0,No,46.0,8.0,No,No,Lower,676000000000.0,22238.66454,3.1287916989999998,Germany,0.0,365.0,Federal
1.0,Development,Canada,1999.0,No,46.0,8.0,No,No,Lower,676000000000.0,22238.66454,3.1287916989999998,Germany,0.0,365.0,Federal
0.0,Development,Canada,2000.0,No,105.0,19.0,No,No,Higher,742000000000.0,24190.24962,3.945218535,Japan,0.0,365.0,Federal
-1.0,Development,Canada,2000.0,No,105.0,19.0,No,No,Higher,742000000000.0,24190.24962,3.945218535,Japan,0.0,365.0,Federal
1.0,Development,Canada,2000.0,No,105.0,19.0,No,No,Higher,742000000000.0,24190.24962,3.945218535,Japan,0.0,365.0,Federal
0.0,Development,Canada,2000.0,No,105.0,19.0,No,No,Higher,742000000000.0,24190.24962,3.945218535,Japan,0.0,365.0,Federal
0.0,Development,Canada,2001.0,No,58.0,10.0,No,No,Higher,736000000000.0,23738.18072,0.309869789,Italy,0.0,365.0,Federal
1.0,Development,Canada,2001.0,No,58.0,10.0,No,No,Higher,736000000000.0,23738.18072,0.309869789,Italy,0.0,365.0,Federal
1.0,Development,Canada,2002.0,No,187.0,34.0,No,No,Higher,758000000000.0,24169.28473,2.303577116,Canada,1.0,92.0,Federal
1.0,Development,Canada,2002.0,No,187.0,34.0,No,No,Higher,758000000000.0,24169.28473,2.303577116,Canada,1.0,92.0,Federal
0.0,Development,Canada,2002.0,No,187.0,34.0,No,No,Higher,758000000000.0,24169.28473,2.303577116,Canada,1.0,92.0,Federal
0.0,Development,Canada,2002.0,No,187.0,34.0,No,No,Higher,758000000000.0,24169.28473,2.303577116,Canada,1.0,92.0,Federal
0.0,Development,Canada,2002.0,No,187.0,34.0,No,No,Higher,758000000000.0,24169.28473,2.303577116,Canada,1.0,92.0,Federal
1.0,Development,Canada,2003.0,No,205.0,24.0,No,No,Lower,892000000000.0,28200.65808,2.879569876,France,1.0,-39.0,Federal
1.0,Development,Canada,2003.0,Yes,205.0,24.0,No,No,Higher,892000000000.0,28200.65808,2.879569876,France,1.0,-39.0,Federal
-1.0,Development,Canada,2004.0,Yes,252.0,53.0,Yes,No,Higher,1020000000000.0,32034.307739999997,2.948998239,United States,0.0,365.0,Federal
1.0,Development,Canada,2004.0,Yes,252.0,53.0,No,No,Higher,1020000000000.0,32034.307739999997,2.948998239,United States,0.0,365.0,Federal
1.0,Development,Canada,2004.0,No,252.0,53.0,No,No,Higher,1020000000000.0,32034.307739999997,2.948998239,United States,0.0,365.0,Federal
1.0,Development,Canada,2004.0,No,252.0,53.0,No,No,Higher,1020000000000.0,32034.307739999997,2.948998239,United States,0.0,365.0,Federal
1.0,Development,Canada,2005.0,Yes,212.0,21.0,No,Yes,Higher,1170000000000.0,36266.18712,4.008877922,United Kingdom,1.0,-111.0,Federal
1.0,Development,Canada,2005.0,No,212.0,21.0,No,No,Higher,1170000000000.0,36266.18712,4.008877922,United Kingdom,1.0,-111.0,Federal
1.0,Development,Canada,2005.0,Yes,212.0,21.0,No,No,Higher,1170000000000.0,36266.18712,4.008877922,United Kingdom,1.0,-111.0,Federal
1.0,Development,Canada,2006.0,No,317.0,31.0,No,No,Higher,1320000000000.0,40385.86996,3.118693054,Russia,0.0,365.0,Federal
0.0,Development,Canada,2007.0,No,329.0,48.0,No,Yes,Higher,1460000000000.0,44543.04104,5.835793377000001,Germany,1.0,-72.0,Federal
1.0,Development,Canada,2007.0,No,329.0,48.0,No,No,Higher,1460000000000.0,44543.04104,5.835793377000001,Germany,1.0,-72.0,Federal
1.0,Development,Canada,2007.0,Yes,329.0,48.0,No,No,Higher,1460000000000.0,44543.04104,5.835793377000001,Germany,1.0,-72.0,Federal
0.0,Development,Canada,2007.0,No,329.0,48.0,No,No,Higher,1460000000000.0,44543.04104,5.835793377000001,Germany,1.0,-72.0,Federal
1.0,Development,Canada,2008.0,Yes,296.0,35.0,No,No,Higher,1550000000000.0,46594.45095,-0.08029485900000001,Japan,1.0,-93.0,Federal
1.0,Development,Canada,2009.0,Yes,254.0,36.0,No,No,Higher,1370000000000.0,40773.06153,-4.03041986,Italy,1.0,-27.0,Federal
1.0,Development,Canada,2010.0,No,73.0,4.0,No,No,Higher,1610000000000.0,47450.31847,1.94962821,Canada,1.0,-30.0,Federal
1.0,Development,Canada,2011.0,No,193.0,29.0,No,No,Higher,1790000000000.0,52101.796089999996,2.142309001,France,0.0,365.0,Federal
0.0,Development,Canada,2011.0,No,193.0,29.0,No,No,Higher,1790000000000.0,52101.796089999996,2.142309001,France,0.0,365.0,Federal
0.0,Development,Canada,2011.0,No,193.0,29.0,No,No,Higher,1790000000000.0,52101.796089999996,2.142309001,France,0.0,365.0,Federal
1.0,Development,Canada,2011.0,No,193.0,29.0,No,No,Higher,1790000000000.0,52101.796089999996,2.142309001,France,0.0,365.0,Federal
1.0,Development,Canada,2012.0,No,141.0,16.0,No,No,Higher,1820000000000.0,52542.34666,0.6633030879999999,United States,0.0,365.0,Federal
0.0,Development,Canada,2012.0,No,141.0,16.0,No,No,Higher,1820000000000.0,52542.34666,0.6633030879999999,United States,0.0,365.0,Federal
